text,created_at,screen_name,.pred_positive,.pred_neutral,.pred_negative,sentiment
"Haloo @GrabID, apakah akun saya kena soft banned? Karena udah jarang dapet voucher grabbike, grabfood, atau grabcar lagi. Selain itu saya juga ga bisa menggunakan kode promo.Tolong dibantu ya, agar bisa nyaman menggunakan grab kembali, terima kasih🙏",2022-11-09T23:32:29Z,milkbearb,0.3306547968001545,0.2321152363351755,0.43722996686467003,negative
Hal kecil yang harus disyukuri hari ini: dapet grabbike dengan motor nmax pulang-pergi. Alhamdulillah pantat w gak cidera kayak kemaren~,2022-11-04T23:38:20Z,ekamiauw,0.23325039395672156,0.39129648852597554,0.3754531175173028,neutral
@jenooooo___ @nctzenbase Jadi kalau kamu naik grabbike atau grabcar dari dan menuju ICE BSD bisa masukin kode promo di atas nanti dapat potongan.,2022-11-03T23:44:43Z,ocheeseu,0.23535536771413887,0.4011689776760406,0.3634756546098206,neutral
"@Askrlfess Siang sahabat, GoJek, GrabBike, GoCar serta GrabCar diperkenankan untuk mengantar pengguna jasa ke bandara, namun tidak diperkenankan untuk menjemput/menaikkan pengguna jasa dari dalam bandara. (1)",2022-11-02T11:50:33Z,angkasapura172,0.37983830875827906,0.3695245525701706,0.2506371386715503,positive
"@FOODFESS2 Maaf oot .. please kalo ada yg bacaa, di lamongan ada goride atau grabbike ga ya?",2022-11-04T17:39:07Z,hooniayee,0.2582636267317517,0.39657251971994323,0.345163853548305,neutral
@GrabID lagi males malesnya pesen grabbike. Kalo dapet jauh mulu. Nunggu bisa lebih 5 mnt,2022-11-02T08:07:50Z,momozzaaaa,0.34112396119696464,0.2624858428755564,0.396390195927479,negative
@nirbanadsd Jarang yan wkwkwkkwkw naek ancot 6rb tapi jalan kaki ke mall nya kalo naek grabbike 8.500 ampe depan mall 🤣🤣,2022-11-07T15:58:58Z,allecnaa,0.23685395427763417,0.30873172237945984,0.45441432334290593,negative
"Sahabat Berkah, naik GrabBike lebih mudah bayar akai LinkAja Syariah, dapatkan potongan harga Berkah Rp6.000. Yuk sambungkan akun Grab-mu dengan LinkAja Syariah!

#MakinBerkah https://t.co/oGnr7By9lW",2022-11-02T20:00:01Z,SyariahLinkAja,0.21618320802977242,0.5640230380524833,0.21979375391774428,neutral
Gila gw masih nangis di grabbike,2022-11-08T19:34:21Z,hyvnsvki,0.22034154733044523,0.5321311864829383,0.2475272661866164,neutral
@wolfie_rayen @lixieoven @bigmommanu @STAYUnionINA Kak sorry mau tanya. Ini grabnya grabcar atau grabbike juga bisa?,2022-11-09T23:24:29Z,capric0rnboys,0.24138671295923628,0.3143695109720884,0.4442437760686753,negative
"Surprisingly depan unhas tidak macet 🥹
11km 25-30 menit Grabbike okelah",2022-11-04T17:22:56Z,ooNnanaaa,0.34933618810474815,0.25091141615928597,0.39975239573596594,negative
"Kejebak hujan bersama abang (re : grabbike) 
Eak hahahah",2022-11-08T17:36:15Z,oktavianisobaa,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"Kode Promo Grab GrabBike, GrabCar, GrabFood Hari Ini Kamis 10 November 2022 https://t.co/PbscikLUkU",2022-11-10T06:29:45Z,jabarekspres,0.23340500320559862,0.35141424870762455,0.4151807480867769,negative
"Ngantor kapan aja naik GrabCar atau GrabBike bisa dapat potongan harga Rp5.000,- untuk minimum transaksi Rp10.000,-. 

Promo berlaku setiap hari Senin – Jumat selama bulan November 2022. 

Info: https://t.co/UT6INvI89T 

#Danamon #PromoDanamon https://t.co/5WSsl3XZE4",2022-11-08T17:00:01Z,danamon,0.2182539230457985,0.5517342513637894,0.2300118255904122,neutral
"Benci banget 💀💀💀 pesen grabbike dicancel krn ujan, giliran pesen grabcar malah terang anjiNC emg 💀💀💀💀💀",2022-11-03T15:21:57Z,moonsong___,0.3277358549901229,0.23119058089333439,0.44107356411654264,negative
@GrabID halo min kok gaada promo grabbike sama sekali siiihh,2022-11-01T07:06:35Z,aticanuii,0.49576276786301127,0.22585348253762905,0.27838374959935963,positive
"@jesky77 @GrabID Halo kak mau tanya, ini naik grabbike dari luar pas masuk cuma tetep bayar sendiri aja?",2022-11-05T12:46:27Z,kangdunaw,0.2528330984535555,0.2817560129934628,0.4654108885529817,negative
@youarekoo aku ada grabbike,2022-11-02T17:56:08Z,nacoffejaem,0.23103862643237333,0.46730626609506093,0.30165510747256574,neutral
"25 Kode Promo Grab, GrabMart, GrabBike, GrabCar dan GrabFood, Belanja Hemat Dapat Gratis Ongkir Sepuasnya
https://t.co/3obuQE6r3S",2022-11-01T08:26:47Z,cil_logs,0.21840923648230404,0.5561411188033707,0.2254496447143253,neutral
"25 Kode Promo Grab, GrabMart, GrabBike, GrabCar dan GrabFood 5 November 2022, Diskon 40 Persen Sepanjang Bulan
https://t.co/UEqfh9EbY4",2022-11-05T07:53:13Z,cil_logs,0.21840923648230404,0.5561411188033707,0.2254496447143253,neutral
"25 Kode Promo Grab, GrabMart, GrabBike, GrabCar dan GrabFood 7 November 2022, Buat Tersayang Selalu Ada Diskon
https://t.co/GYTCS7GFjP",2022-11-07T08:21:58Z,cil_logs,0.3220524272481197,0.4079533883777834,0.2699941843740968,neutral
ERIC IM CRYING DI ATAS GRABBIKE YOU DONT WANNA SEE ME NANGIS SESENGGUKAN KAYAK GINI,2022-11-07T18:38:25Z,KEVVROST,0.22037033774298856,0.5491578688085534,0.23047179344845817,neutral
Gw dah siap siap memencet pesen grabbike,2022-11-01T16:33:48Z,DarkTyrannis,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"@rantsbt Halo Kak, Untuk biaya GrabBike/GrabCar kalo masuk Ancol dikenakan biaya armadanya, nanti bisa tunjukan ke petugas di sana kalo Kakak order GrabBike/GrabCar 😊️ Have a nice day Kak 🤗️ -Ani",2022-11-09T19:04:30Z,GrabID,0.21492287495294843,0.5690953289854527,0.21598179606159884,neutral
"@GrabID selamat pagi min, min mau tanya untuk pendaftaran mitra grabbike di bali masih dibuka min? Saya daftar via web tapi ada foto bersama verifikator itu maksudnya gimana ya min?",2022-11-02T07:55:17Z,rezawibisonoo,0.2361064155741445,0.2415293100725913,0.5223642743532643,negative
"@nctzenbase mending dr cisauk gais itu ud paling deket sm ice, grabbike aja cuma 15k",2022-11-04T10:58:47Z,glicchie,0.22840401889580017,0.3015241951611103,0.4700717859430895,negative
"@diyasprdn aturan tidak tertulis warganet:
- beli makan di grabfood aja, banya diskon
- naik motor dkt pake goride, cheaper
- naik motor jauh pake grabbike, cheaper",2022-11-04T23:41:04Z,virtualdrip,0.267871475406703,0.46648011976022175,0.26564840483307517,neutral
"Kode Promo Grab, GrabCar, GrabBike, GrabFood dan GrabMart SPESIAL WEEKEND, Sabtu 5 November 2022 https://t.co/k7Q1InNVqY",2022-11-05T22:19:36Z,suaramerdeka,0.21840923648230404,0.5561411188033707,0.2254496447143253,neutral
@normalgvy @vangkitongki @niwseir @gojekindonesia Tahun 2020 pendapatan Driver Grabbike -/+ Rp 11.400 per trip ( Jarak Dekat ) sekarang -/+ Rp. 8.500 dimana bensin lebih mahal sekarang dan bahan pokok lain naik. Apakah masih disebut driver malas kah driver yg kecewa dgn tarifnya ?,2022-11-01T14:42:10Z,cari_ariq,0.2400799313345134,0.21937988642980977,0.5405401822356768,negative
"decided to take grabbike instead of tj karena sudah jompo. yg dateng elektrik

👧🏻: oh baru ya pak ini
🧔🏻: iya mba
👧🏻: ini berarti di-charge ya pak?
🧔🏻: iya mba kayak permainan

😭😭 bpknya jawab nada datar jd tambah kocik aje grabbike disamain sm mainan...",2022-11-02T20:30:31Z,klarisaurus,0.22446307249593928,0.2526547974631865,0.5228821300408742,negative
@jerukperasss_ @pebbbbb03 @anakgkjlss @NorahXIV @worksfess Skrg masih bisa kok grab matiin yg grabbike nya aja.,2022-11-01T12:01:50Z,fffuturelove,0.23354078687925064,0.4391352775513038,0.3273239355694456,neutral
Bisa diganti sambil nangis di grabbike gak. Asli nangis di grabbike itu free therapy. 🥲 https://t.co/GP8I1inHiQ,2022-11-08T21:18:45Z,stillwithkazuha,0.23460790595161823,0.3975722239068527,0.367819870141529,neutral
"Lagi di grabbike, dengerin lagu happy, tiba-tiba NANGIS GAK BISA BERHENTI. GW KENAPA ANYINGGGGGGG??????",2022-11-09T09:20:48Z,stillwithkazuha,0.32496174718487997,0.33877860954883565,0.33625964326628444,neutral
"Gegara macet abis ujan trs tarif ojol naek, gue cuma dr cipulir ke senayan gue bela2in nunggu 10menitan ampe tarif grabbike turun normal dulu br mesen wkwk https://t.co/K0HY34xGBP",2022-11-04T21:38:00Z,fajrinaia,0.2207467253951067,0.5299797793828447,0.2492734952220486,neutral
"7 Kode Promo Grab, GrabBike, GrabFood, GrabMart, GrabExpress, Nikmati Diskon Sepanjang November 2022 https://t.co/4qilW063GK",2022-11-06T11:25:32Z,Ficko_,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"@GrabID min, utk grabbike bisa gak sih bayar setengah pakai ovo, setengah lagi pake cash?",2022-11-08T11:39:21Z,Goodtoseeyou5,0.32141926255797815,0.23407015462576347,0.4445105828162584,negative
"@dazzleiea @berburusales mjb, dia otomatis kepake nder pas order Grbfood atau pas naik grabbike dan grbcar",2022-11-09T12:53:02Z,dauzrusdy,0.2328574500240957,0.25975431274267385,0.5073882372332305,negative
"Sobat LinkAja, perlu sat set nyampe kantor? Tinggal pakai Grabbike, bayar pakai LinkAja dan dapatkan diskon 90%. Informasi selengkapnya cek 
https://t.co/dJ9OaWVGcb 

Pede #Apa2Bisa
Layanan Customer Service LinkAja: 
Live Chat https://t.co/di3MsW9LCR
Email: info@linkaja.id https://t.co/HkgcfO8KEl",2022-11-09T09:00:01Z,linkaja,0.21840923648230404,0.5561411188033707,0.2254496447143253,neutral
@capricornbearr aaaa oke noted📝 eiya naik grabbike juga boleh lewat kan ya? ga harus grabcar?,2022-11-10T06:40:48Z,koalakimtae,0.24390318316142334,0.40884864821621275,0.34724816862236385,neutral
WEH KALO PESEN GRABBIKE TRS DI ATM UDH KEPOTONG PAS DI CANCEL UANGNYA BALIK GAKK???,2022-11-04T06:02:27Z,veintrez,0.24163516694180515,0.4541854560254987,0.3041793770326961,neutral
"Lama lama kebiasaan bgt ye waktu itu gocar taksi, skrg grabbike. Naikin harga beda sama di fare meter &amp; aplikasi. Tiba tiba saldo kepotong lebih tanpa basabasi dulu ke cust tuh kaya gasopan bgt.",2022-11-03T19:29:21Z,shanice9s,0.23101021933716137,0.2579209962684416,0.5110687843943971,negative
"Naik grabbike yekan jadinya

Ditanya ""mba ngapain di pojokan"" sambil ketawa

Ya... ya duduk mas... ... ... lucu ye gue duduk https://t.co/XH1GRfeAYr",2022-11-03T23:16:49Z,AlNlGMA,0.24728007738784047,0.3187234492220733,0.43399647339008635,negative
"Kode Promo Grab, Grabfood, GrabCar dan GrabBike 15 November 2022 95% OFF Hari Ini

https://t.co/QwT46ESNF0",2022-11-14T14:29:57Z,shaldikurniawan,0.23279281234507931,0.42209348843127154,0.34511369922364915,neutral
"Kode Voucher Diskon Grab, GrabCar dan GrabBike 16 November 2022 Rp20.000 OFF Perjalanan Murah

https://t.co/9Th2D9HbD8",2022-11-15T13:30:35Z,shaldikurniawan,0.21840923648230404,0.5561411188033707,0.2254496447143253,neutral
storytellin i tadi pesen grabbike cari yg xl ga dapet2 which was wajar krn emg masi jam 5 pagi &amp; akhirnya dpt and the bike was supra. nah gue ini blm pernah naik supra before trnyata it was emm relatively small pdhl gue kan mau pulkam bawa seperangkat harta benda dan laprakku,2022-11-19T19:24:50Z,honeemoonavenue,0.2405518556353469,0.2719766784513822,0.48747146591327095,negative
grabbike bisa cek pinned^^ https://t.co/6bWrRPb4LF,2022-11-14T12:31:22Z,filantropiis,0.29537854143455555,0.4519745461123301,0.2526469124531144,neutral
yo mosok jinping kon mampir krisna numpak grab bike https://t.co/jYGuIjsV5z,2022-11-16T08:47:00Z,bonsky_____,0.29857340187962317,0.3543051822647386,0.3471214158556381,neutral
"Mau grab bike dr setengah jam yg lalu, ga bisa2 soale ga dapet driver.
Giliran pesen grabfood sat set poll ujug2 dapet.

Grab ini sangat awikwok sekali",2022-11-17T20:30:40Z,salmaalabiba,0.27427046208594685,0.22528734334579847,0.5004421945682548,negative
untuk pemesanan grab bike dari kebon jeruk ke stasiun pasar senen bisa ga? di atas 10km soalnya @GrabID,2022-11-13T14:03:07Z,istrimudahyun,0.21746742132120944,0.5620981371438177,0.22043444153497288,neutral
"@wibisonohanas Ada kak, grabbike dan car ada semua",2022-11-18T19:56:06Z,infomalang,0.2369845334491577,0.471105246731053,0.2919102198197893,neutral
"Lebih lucu lagi pas di PEKANBARU, naik grabbike trus mampir ke atm bentar. Drivernya nunggu di motor, pas aku naik motornya ditagih parkir. Tukang parkirnya ngotot banget pula. https://t.co/XK6F2Hw7Dc",2022-11-14T22:07:09Z,ibbyza,0.325125630799893,0.2437484177188374,0.4311259514812696,negative
"td pas dr hotel ke pool feeder naik grabbike, bapaknya langsung nebak ""nginep disini tadi malem abis nonton stray kids ya kak?"" 🤣",2022-11-13T12:10:25Z,skijeucrumbs,0.24839273636893028,0.33014859366003163,0.4214586699710381,negative
"@nihongofess_ Stasiun buaran sih mestinya, tapi kayaknya aku turun di Tebet lanjut grabbike",2022-11-18T19:22:36Z,techiii_nd,0.21838378133293723,0.2230821692604966,0.5585340494065661,negative
